hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(128,)",relu,0.0005,0.001,128,16.722781912383365,58
"(128,)",relu,0.0005,0.01,32,16.848616647889628,40
"(128,)",relu,0.0005,0.01,64,16.729331968138002,40
"(128,)",relu,0.0005,0.01,128,16.722973015904223,58
"(128,)",relu,0.0005,0.1,32,16.84161841618241,40
"(128,)",relu,0.0005,0.1,64,16.725473023611155,40
"(128,)",relu,0.0005,0.1,128,16.720214313642494,58
"(128,)",relu,0.001,0.0001,32,16.732775471037847,68
"(128,)",relu,0.001,0.0001,64,16.727502559979566,38
"(128,)",relu,0.001,0.0001,128,16.648848405493545,38
"(128,)",relu,0.001,0.001,32,16.728545298918974,63
"(128,)",relu,0.001,0.001,64,16.730989081299725,38
"(128,)",relu,0.001,0.001,128,16.650474657680967,38
"(128,)",relu,0.001,0.01,32,16.86671461826029,63
"(128,)",relu,0.001,0.01,64,16.88621612837674,38
"(128,)",relu,0.001,0.01,128,16.648511926782735,38
"(128,)",relu,0.001,0.1,32,16.843813664227515,42
"(128,)",relu,0.001,0.1,64,16.882444614028774,38
"(128,)",relu,0.001,0.1,128,16.649456180122595,38
"(128,)",relu,0.005,0.0001,32,16.79012697107771,24
"(128,)",relu,0.005,0.0001,64,16.55461498222706,42
"(128,)",relu,0.005,0.0001,128,17.012111613053765,25
"(128,)",relu,0.005,0.001,32,16.77624814855168,24
"(128,)",relu,0.005,0.001,64,16.643996663079847,42
"(128,)",relu,0.005,0.001,128,17.051661718913213,25
"(128,)",relu,0.005,0.01,32,16.784875693582,24
"(128,)",relu,0.005,0.01,64,17.13204280293351,24
"(128,)",relu,0.005,0.01,128,17.10684874382089,21
"(128,)",relu,0.005,0.1,32,16.815416595364667,24
"(128,)",relu,0.005,0.1,64,17.037278670911945,21
"(128,)",relu,0.005,0.1,128,17.019882763164638,25
"(128,)",relu,0.01,0.0001,32,16.59322753969886,24
"(128,)",relu,0.01,0.0001,64,16.875136171828714,44
"(128,)",relu,0.01,0.0001,128,16.96906116081646,24
"(128,)",relu,0.01,0.001,32,16.548001954361922,24
"(128,)",relu,0.01,0.001,64,17.19645488848326,55
"(128,)",relu,0.01,0.001,128,16.89932431454331,42
"(128,)",relu,0.01,0.01,32,16.785699330534868,36
"(128,)",relu,0.01,0.01,64,16.541400118415698,42
"(128,)",relu,0.01,0.01,128,16.95595359100575,24
"(128,)",relu,0.01,0.1,32,16.502489315449925,24
"(128,)",relu,0.01,0.1,64,16.60543113743774,45
"(128,)",relu,0.01,0.1,128,16.91348540244556,24
"(128,)",tanh,0.0001,0.0001,32,16.56671657187089,175
"(128,)",tanh,0.0001,0.0001,64,16.69594173820885,279
"(128,)",tanh,0.0001,0.0001,128,16.671811904997654,279
"(128,)",tanh,0.0001,0.001,32,16.566705898350342,175
"(128,)",tanh,0.0001,0.001,64,16.695939679092923,279
"(128,)",tanh,0.0001,0.001,128,16.67180823684904,279
"(128,)",tanh,0.0001,0.01,32,16.566596430350934,175
"(128,)",tanh,0.0001,0.01,64,16.695918090133937,279
"(128,)",tanh,0.0001,0.01,128,16.67177173845209,279
"(128,)",tanh,0.0001,0.1,32,16.565278680731158,175
"(128,)",tanh,0.0001,0.1,64,16.69561132195592,279
"(128,)",tanh,0.0001,0.1,128,16.671426272693108,279
"(128,)",tanh,0.0005,0.0001,32,16.711171774406143,68
"(128,)",tanh,0.0005,0.0001,64,16.718918164981577,68
"(128,)",tanh,0.0005,0.0001,128,16.668365452850043,117
"(128,)",tanh,0.0005,0.001,32,16.711161355488905,68
"(128,)",tanh,0.0005,0.001,64,16.718918463108412,68
